1: ([37.681257, -122.105636], [37.418950, -122.045161])
2: ([37.745947, -122.367159], [37.810310, -122.094102])
3: ([37.816591, -122.200791], [37.678239, -122.093072])
4: ([37.495281, -122.254022], [37.696666, -122.090677])
5: ([37.635778, -122.240528], [37.695258, -122.134508])
6: ([37.541160, -122.170902], [37.738444, -122.259538])
7: ([37.675463, -122.088138], [37.700102, -122.349860])
8: ([37.681744, -122.142705], [37.570472, -122.305545])
9: ([37.718954, -122.349475], [37.528323, -122.305324])
10: ([37.499385, -122.386522], [37.480806, -122.113034])
11: ([37.501940, -122.311994], [37.824856, -122.236857])
12: ([37.603480, -122.079378], [37.600302, -122.169191])
13: ([37.721820, -122.084181], [37.503622, -122.139518])
14: ([37.517798, -122.345187], [37.827195, -122.211609])
15: ([37.686159, -122.111639], [37.625882, -122.270483])
