1: ([37.732273, -122.130907], [37.528640, -122.020024])
2: ([37.646903, -122.348592], [37.814725, -122.141399])
3: ([37.789442, -122.075201], [37.487168, -122.072984])
4: ([37.529258, -122.290519], [37.423661, -122.295454])
5: ([37.702079, -122.115608], [37.481879, -122.141135])
6: ([37.634459, -122.145382], [37.432719, -122.141061])
7: ([37.545848, -122.365872], [37.512644, -122.221905])
8: ([37.691546, -122.342300], [37.585175, -122.251118])
9: ([37.430764, -122.207849], [37.448069, -122.044605])
10: ([37.617607, -122.339094], [37.521466, -122.163900])
11: ([37.663899, -122.346172], [37.774409, -122.215820])
12: ([37.651648, -122.336877], [37.791355, -122.065686])
13: ([37.548654, -122.288768], [37.422035, -122.138595])
14: ([37.477272, -122.206142], [37.567240, -122.050442])
15: ([37.674171, -122.069250], [37.461288, -122.188410])
